trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.01131039997562766,,0.006255999905988574,0.01131039997562766,1.0509331999346614,1.0509331999346614,2.2267336999066174,down,1,1.1632608999498188,None,2,868159,001,2024-09-13_15h40.31.396,Orientation_Discrimination_singal.Detection_Priyanshi,2024.1.5,None,2024-09-13 15h40.41.877625 +0530,
1,0,1,0,2.2339641000144184,,2.229197199922055,2.2339641000144184,3.2487077999394387,3.2318875999189913,3.9999488999601454,up,0,0.7614965001121163,None,2,868159,001,2024-09-13_15h40.31.396,Orientation_Discrimination_singal.Detection_Priyanshi,2024.1.5,None,2024-09-13 15h40.41.877625 +0530,
2,0,2,0,4.015651499852538,,4.001791100017726,4.015651499852538,5.015454399865121,5.015454399865121,5.600489499978721,up,0,0.5745647000148892,None,0,868159,001,2024-09-13_15h40.31.396,Orientation_Discrimination_singal.Detection_Priyanshi,2024.1.5,None,2024-09-13 15h40.41.877625 +0530,
3,0,3,0,5.615302999969572,,5.6034084998536855,5.615302999969572,6.615281399805099,6.615281399805099,7.367059499956667,down,1,0.7389968999195844,None,4,868159,001,2024-09-13_15h40.31.396,Orientation_Discrimination_singal.Detection_Priyanshi,2024.1.5,None,2024-09-13 15h40.41.877625 +0530,
4,0,4,0,7.381990300025791,,7.370086799841374,7.381990300025791,8.3821526998654,8.3821526998654,9.416785799898207,down,1,1.0232309000566602,None,3,868159,001,2024-09-13_15h40.31.396,Orientation_Discrimination_singal.Detection_Priyanshi,2024.1.5,None,2024-09-13 15h40.41.877625 +0530,
5,0,5,0,9.431715899845585,,9.4199761999771,9.431715899845585,10.43196319998242,10.43196319998242,11.133534699911252,up,0,0.6850566999055445,None,2,868159,001,2024-09-13_15h40.31.396,Orientation_Discrimination_singal.Detection_Priyanshi,2024.1.5,None,2024-09-13 15h40.41.877625 +0530,
6,0,6,0,11.148248199839145,,11.137397199869156,11.148248199839145,12.148848199984059,12.148848199984059,12.900518599897623,up,0,0.7366619999520481,None,-3,868159,001,2024-09-13_15h40.31.396,Orientation_Discrimination_singal.Detection_Priyanshi,2024.1.5,None,2024-09-13 15h40.41.877625 +0530,
7,0,7,0,12.915312999859452,,12.90382679994218,12.915312999859452,13.915325699839741,13.915325699839741,14.584161799866706,down,1,0.666751999873668,None,4,868159,001,2024-09-13_15h40.31.396,Orientation_Discrimination_singal.Detection_Priyanshi,2024.1.5,None,2024-09-13 15h40.41.877625 +0530,
8,0,8,0,14.59821919980459,,14.587746999925002,14.59821919980459,15.598931899992749,15.598931899992749,16.467368899844587,up,0,0.8647820998448879,None,-3,868159,001,2024-09-13_15h40.31.396,Orientation_Discrimination_singal.Detection_Priyanshi,2024.1.5,None,2024-09-13 15h40.41.877625 +0530,
9,0,9,0,16.48189549986273,,16.47196100000292,16.48189549986273,17.481347099877894,17.481347099877894,18.30053689982742,up,0,0.8086441000923514,None,-1,868159,001,2024-09-13_15h40.31.396,Orientation_Discrimination_singal.Detection_Priyanshi,2024.1.5,None,2024-09-13 15h40.41.877625 +0530,
